word_1,word_2,Score
bird,cock,7.1
start,year,4.06
vodka,brandy,8.13
bread,butter,6.19
cup,article,2.4
street,place,6.44
stock,phone,1.62
street,children,4.94
direction,combination,2.25
cemetery,woodland,2.08
dollar,yen,7.78
Harvard,Yale,8.13
month,hotel,1.81
delay,news,3.31
announcement,production,3.38
plane,car,5.77
mile,kilometer,8.66
championship,tournament,8.36
space,chemistry,4.88
minority,peace,3.69
food,fruit,7.52
coast,shore,9.1
precedent,collection,2.5
rooster,voyage,0.62
monk,oracle,5.0
cup,entity,2.15
midday,noon,9.29
school,center,3.44
street,block,6.88
asylum,madhouse,8.87
opera,performance,6.88
seafood,lobster,8.7
board,recommendation,4.47
precedent,example,5.85
skin,eye,6.22
lobster,wine,5.7
museum,theater,7.19
tiger,cat,7.35
atmosphere,landscape,3.69
reason,hypertension,2.31
crane,implement,2.69
deployment,departure,4.25
chord,smile,0.54
train,car,6.31
line,insurance,2.69
travel,activity,5.0
doctor,personnel,5.0
journal,association,4.97
practice,institution,3.19
stock,egg,1.81
life,term,4.5
glass,metal,5.56
Mexico,Brazil,7.44
governor,interview,3.25
money,currency,9.04
football,tennis,6.63
peace,atmosphere,3.69
smart,student,4.62
cup,substance,1.92
life,death,7.88
president,medal,3.0
coast,forest,3.15
prejudice,recognition,3.0
money,cash,9.15
viewer,serial,2.97
precedent,group,1.77
doctor,nurse,7.0
focus,life,4.06
precedent,antecedent,6.04
liquid,water,7.89
music,project,3.63
type,kind,8.97
professor,cucumber,0.31
word,similarity,4.75
sugar,approach,0.88
announcement,news,7.56
vodka,gin,8.46
marathon,sprint,7.47
architecture,century,3.78
five,month,3.38
production,hike,1.75
car,automobile,8.94
king,cabbage,0.23
energy,secretary,1.81
football,basketball,6.81
ministry,culture,4.69
theater,history,3.91
noon,string,0.54
seafood,food,8.34
start,match,4.47
monk,slave,0.92
image,surface,4.56
dividend,payment,7.63
drink,ear,1.31
peace,plan,4.75
computer,news,4.47
cup,object,3.69
listing,proximity,2.56
stock,CD,1.31
food,rooster,4.42
football,soccer,9.03
forest,graveyard,1.85
money,operation,3.31
dollar,buck,9.22
psychology,discipline,5.58
man,governor,5.25
wood,forest,7.73
benchmark,index,4.25
street,avenue,8.88
planet,sun,8.02
media,gain,2.88
consumer,energy,4.75
drink,mother,2.65
morality,importance,3.31
planet,moon,8.08
Japanese,American,6.5
morality,marriage,3.69
aluminum,metal,7.83
tiger,organism,4.77
king,queen,8.58
television,radio,6.77
opera,industry,2.63
problem,airport,2.38
profit,warning,3.88
rock,jazz,7.59
cucumber,potato,5.92
cup,food,5.0
calculation,computation,8.44
experience,music,3.47
furnace,stove,8.79
jaguar,cat,7.42
drink,car,3.04
king,rook,5.92
profit,loss,7.63
hospital,infrastructure,4.63
cell,phone,7.81
stock,jaguar,0.92
smart,stupid,5.81
lad,brother,4.46
shore,woodland,3.08
murder,manslaughter,8.53
tiger,tiger,10.0
phone,equipment,7.13
situation,isolation,3.88
media,trading,3.88
development,issue,3.97
tiger,mammal,6.85
century,year,7.59
situation,conclusion,4.81
Mars,water,2.94
